date,Team_1,Team_2,Winner,Margin,Ground
"Jan 12, 2011",South Africa,India,South Africa,135 runs,Durban
"Jan 15, 2011",South Africa,India,India,1 run,Johannesburg
"Jan 16, 2011",Australia,England,Australia,6 wickets,Melbourne
"Jan 18, 2011",South Africa,India,India,2 wickets,Cape Town
"Jan 21, 2011",Australia,England,Australia,46 runs,Hobart
"Jan 21, 2011",South Africa,India,South Africa,48 runs,Gqeberha
"Jan 22, 2011",New Zealand,Pakistan,New Zealand,9 wickets,Wellington
"Jan 23, 2011",Australia,England,Australia,4 wickets,Sydney
"Jan 23, 2011",South Africa,India,South Africa,33 runs,Centurion
"Jan 26, 2011",New Zealand,Pakistan,no result,-,Queenstown
"Jan 26, 2011",Australia,England,England,21 runs,Adelaide
"Jan 29, 2011",New Zealand,Pakistan,Pakistan,43 runs,Christchurch
"Jan 30, 2011",Australia,England,Australia,51 runs,Brisbane
"Jan 31, 2011",Sri Lanka,West Indies,no result,-,Colombo (SSC)
"Feb 1, 2011",New Zealand,Pakistan,Pakistan,2 wickets,Napier
"Feb 2, 2011",Australia,England,Australia,2 wickets,Sydney
"Feb 3, 2011",New Zealand,Pakistan,Pakistan,41 runs,Hamilton
"Feb 3, 2011",Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC)
"Feb 5, 2011",New Zealand,Pakistan,New Zealand,57 runs,Auckland
"Feb 6, 2011",Australia,England,Australia,57 runs,Perth
"Feb 6, 2011",Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC)
"Feb 19, 2011",Bangladesh,India,India,87 runs,Mirpur
"Feb 20, 2011",Kenya,New Zealand,New Zealand,10 wickets,Chennai
"Feb 20, 2011",Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota
"Feb 21, 2011",Australia,Zimbabwe,Australia,91 runs,Ahmedabad
"Feb 22, 2011",England,Netherlands,England,6 wickets,Nagpur
"Feb 23, 2011",Kenya,Pakistan,Pakistan,205 runs,Hambantota
"Feb 24, 2011",South Africa,West Indies,South Africa,7 wickets,Delhi
"Feb 25, 2011",Australia,New Zealand,Australia,7 wickets,Nagpur
"Feb 25, 2011",Bangladesh,Ireland,Bangladesh,27 runs,Mirpur
"Feb 26, 2011",Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS)
"Feb 27, 2011",India,England,tied,-,Bengaluru
"Feb 28, 2011",Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur
"Feb 28, 2011",Netherlands,West Indies,West Indies,215 runs,Delhi
"Mar 1, 2011",Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS)
"Mar 2, 2011",England,Ireland,Ireland,3 wickets,Bengaluru
"Mar 3, 2011",Netherlands,South Africa,South Africa,231 runs,Mohali
"Mar 3, 2011",Canada,Pakistan,Pakistan,46 runs,Colombo (RPS)
"Mar 4, 2011",New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad
"Mar 4, 2011",Bangladesh,West Indies,West Indies,9 wickets,Mirpur
"Mar 5, 2011",Sri Lanka,Australia,no result,-,Colombo (RPS)
"Mar 6, 2011",England,South Africa,England,6 runs,Chennai
"Mar 6, 2011",India,Ireland,India,5 wickets,Bengaluru
"Mar 7, 2011",Canada,Kenya,Canada,5 wickets,Delhi
"Mar 8, 2011",New Zealand,Pakistan,New Zealand,110 runs,Pallekele
"Mar 9, 2011",India,Netherlands,India,5 wickets,Delhi
"Mar 10, 2011",Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele
"Mar 11, 2011",Ireland,West Indies,West Indies,44 runs,Mohali
"Mar 11, 2011",Bangladesh,England,Bangladesh,2 wickets,Chattogram
"Mar 12, 2011",India,South Africa,South Africa,3 wickets,Nagpur
"Mar 13, 2011",Canada,New Zealand,New Zealand,97 runs,Wankhede
"Mar 13, 2011",Australia,Kenya,Australia,60 runs,Bengaluru
"Mar 14, 2011",Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram
"Mar 14, 2011",Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele
"Mar 15, 2011",Ireland,South Africa,South Africa,131 runs,Eden Gardens
"Mar 16, 2011",Australia,Canada,Australia,7 wickets,Bengaluru
"Mar 17, 2011",England,West Indies,England,18 runs,Chennai
"Mar 18, 2011",Ireland,Netherlands,Ireland,6 wickets,Eden Gardens
"Mar 18, 2011",New Zealand,Sri Lanka,Sri Lanka,112 runs,Wankhede
"Mar 19, 2011",Bangladesh,South Africa,South Africa,206 runs,Mirpur
"Mar 19, 2011",Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS)
"Mar 20, 2011",Kenya,Zimbabwe,Zimbabwe,161 runs,Eden Gardens
"Mar 20, 2011",India,West Indies,India,80 runs,Chennai
"Mar 23, 2011",Pakistan,West Indies,Pakistan,10 wickets,Mirpur
"Mar 24, 2011",India,Australia,India,5 wickets,Ahmedabad
"Mar 25, 2011",New Zealand,South Africa,New Zealand,49 runs,Mirpur
"Mar 26, 2011",Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS)
"Mar 29, 2011",Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS)
"Mar 30, 2011",India,Pakistan,India,29 runs,Mohali
"Apr 2, 2011",India,Sri Lanka,India,6 wickets,Wankhede
"Apr 9, 2011",Bangladesh,Australia,Australia,60 runs,Mirpur
"Apr 11, 2011",Bangladesh,Australia,Australia,9 wickets,Mirpur
"Apr 13, 2011",Bangladesh,Australia,Australia,66 runs,Mirpur
"Apr 23, 2011",West Indies,Pakistan,Pakistan,8 wickets,Gros Islet
"Apr 25, 2011",West Indies,Pakistan,Pakistan,7 wickets,Gros Islet
"Apr 28, 2011",West Indies,Pakistan,Pakistan,3 wickets,Bridgetown
"May 2, 2011",West Indies,Pakistan,West Indies,1 run,Bridgetown
"May 5, 2011",West Indies,Pakistan,West Indies,10 wickets,Providence
"May 28, 2011",Ireland,Pakistan,Pakistan,7 wickets,Belfast
"May 30, 2011",Ireland,Pakistan,Pakistan,5 wickets,Belfast
"Jun 6, 2011",West Indies,India,India,4 wickets,Port of Spain
"Jun 8, 2011",West Indies,India,India,7 wickets,Port of Spain
"Jun 11, 2011",West Indies,India,India,3 wickets,North Sound
"Jun 13, 2011",West Indies,India,West Indies,103 runs,North Sound
"Jun 16, 2011",West Indies,India,West Indies,7 wickets,Kingston
"Jun 28, 2011",Scotland,Netherlands,Scotland,15 runs,Aberdeen
"Jun 28, 2011",England,Sri Lanka,England,110 runs,The Oval
"Jun 29, 2011",Scotland,Netherlands,Scotland,5 wickets,Aberdeen
"Jul 1, 2011",England,Sri Lanka,Sri Lanka,69 runs,Leeds
"Jul 3, 2011",England,Sri Lanka,Sri Lanka,6 wickets,Lord's
"Jul 6, 2011",England,Sri Lanka,England,10 wickets,Nottingham
"Jul 9, 2011",England,Sri Lanka,England,16 runs,Manchester
"Jul 12, 2011",Scotland,Ireland,Scotland,5 wickets,Edinburgh
"Jul 13, 2011",Scotland,Sri Lanka,Sri Lanka,183 runs,Edinburgh
"Aug 7, 2011",Canada,Afghanistan,Afghanistan,2 wickets,King City (NW)
"Aug 9, 2011",Canada,Afghanistan,Afghanistan,17 runs,Toronto
"Aug 10, 2011",Sri Lanka,Australia,Australia,7 wickets,Pallekele
"Aug 12, 2011",Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare
"Aug 14, 2011",Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare
"Aug 14, 2011",Sri Lanka,Australia,Australia,8 wickets,Hambantota
"Aug 16, 2011",Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare
"Aug 16, 2011",Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota
"Aug 19, 2011",Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo
"Aug 20, 2011",Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS)
"Aug 21, 2011",Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo
"Aug 22, 2011",Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS)
"Aug 25, 2011",Ireland,England,England,11 runs,Dublin
"Sep 3, 2011",England,India,no result,-,Chester-le-Street
"Sep 6, 2011",England,India,England,7 wickets,Southampton
"Sep 8, 2011",Zimbabwe,Pakistan,Pakistan,5 runs,Bulawayo
"Sep 9, 2011",England,India,England,3 wickets,The Oval
"Sep 11, 2011",Zimbabwe,Pakistan,Pakistan,10 wickets,Harare
"Sep 11, 2011",England,India,tied,-,Lord's
"Sep 12, 2011",Netherlands,Kenya,Netherlands,2 wickets,The Hague
"Sep 13, 2011",Netherlands,Kenya,Netherlands,4 wickets,The Hague
"Sep 14, 2011",Zimbabwe,Pakistan,Pakistan,28 runs,Harare
"Sep 16, 2011",England,India,England,6 wickets,Cardiff
"Sep 19, 2011",Ireland,Canada,Ireland,133 runs,Dublin
"Sep 20, 2011",Ireland,Canada,Ireland,56 runs,Dublin
"Oct 13, 2011",Bangladesh,West Indies,West Indies,40 runs,Mirpur
"Oct 14, 2011",India,England,India,126 runs,Hyderabad
"Oct 15, 2011",Bangladesh,West Indies,West Indies,8 wickets,Mirpur
"Oct 17, 2011",India,England,India,8 wickets,Delhi
"Oct 18, 2011",Bangladesh,West Indies,Bangladesh,8 wickets,Chattogram
"Oct 19, 2011",South Africa,Australia,Australia,93 runs,Centurion
"Oct 20, 2011",Zimbabwe,New Zealand,New Zealand,9 wickets,Harare
"Oct 20, 2011",India,England,India,5 wickets,Mohali
"Oct 22, 2011",Zimbabwe,New Zealand,New Zealand,4 wickets,Harare
"Oct 23, 2011",India,England,India,6 wickets,Wankhede
"Oct 23, 2011",South Africa,Australia,South Africa,80 runs,Gqeberha
"Oct 25, 2011",Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo
"Oct 25, 2011",India,England,India,95 runs,Eden Gardens
"Oct 28, 2011",South Africa,Australia,Australia,3 wickets,Durban
"Nov 11, 2011",Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC)
"Nov 14, 2011",Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC)
"Nov 18, 2011",Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC)
"Nov 20, 2011",Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah
"Nov 23, 2011",Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi
"Nov 29, 2011",India,West Indies,India,1 wicket,Cuttack
"Dec 1, 2011",Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur
"Dec 2, 2011",India,West Indies,India,5 wickets,Visakhapatnam
"Dec 3, 2011",Bangladesh,Pakistan,Pakistan,76 runs,Mirpur
"Dec 5, 2011",India,West Indies,West Indies,16 runs,Ahmedabad
"Dec 6, 2011",Bangladesh,Pakistan,Pakistan,58 runs,Chattogram
"Dec 8, 2011",India,West Indies,India,153 runs,Indore
"Dec 11, 2011",India,West Indies,India,34 runs,Chennai
"Jan 11, 2012",South Africa,Sri Lanka,South Africa,258 runs,Paarl
"Jan 14, 2012",South Africa,Sri Lanka,South Africa,5 wickets,East London
"Jan 17, 2012",South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein
"Jan 20, 2012",South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley
"Jan 22, 2012",South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg
"Feb 3, 2012",New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin
"Feb 5, 2012",Australia,India,Australia,65 runs,Melbourne
"Feb 6, 2012",New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei
"Feb 8, 2012",India,Sri Lanka,India,4 wickets,Perth
"Feb 9, 2012",New Zealand,Zimbabwe,New Zealand,202 runs,Napier
"Feb 10, 2012",Australia,Sri Lanka,Australia,5 runs,Perth
"Feb 10, 2012",Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah
"Feb 12, 2012",Australia,India,India,4 wickets,Adelaide
"Feb 13, 2012",England,Pakistan,England,130 runs,Abu Dhabi
"Feb 14, 2012",India,Sri Lanka,tied,-,Adelaide
"Feb 15, 2012",England,Pakistan,England,20 runs,Abu Dhabi
"Feb 17, 2012",Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney
"Feb 18, 2012",Kenya,Ireland,Kenya,7 wickets,Mombasa
"Feb 18, 2012",England,Pakistan,England,9 wickets,Dubai (DSC)
"Feb 19, 2012",Australia,India,Australia,110 runs,Brisbane
"Feb 20, 2012",Kenya,Ireland,Ireland,117 runs,Mombasa
"Feb 21, 2012",India,Sri Lanka,Sri Lanka,51 runs,Brisbane
"Feb 21, 2012",England,Pakistan,England,4 wickets,Dubai (DSC)
"Feb 24, 2012",Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart
"Feb 25, 2012",New Zealand,South Africa,South Africa,6 wickets,Wellington
"Feb 26, 2012",Australia,India,Australia,87 runs,Sydney
"Feb 28, 2012",India,Sri Lanka,India,7 wickets,Hobart
"Feb 29, 2012",New Zealand,South Africa,South Africa,6 wickets,Napier
"Mar 2, 2012",Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne
"Mar 3, 2012",New Zealand,South Africa,South Africa,5 wickets,Auckland
"Mar 4, 2012",Australia,Sri Lanka,Australia,15 runs,Brisbane
"Mar 6, 2012",Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide
"Mar 8, 2012",Australia,Sri Lanka,Australia,16 runs,Adelaide
"Mar 11, 2012",Bangladesh,Pakistan,Pakistan,21 runs,Mirpur
"Mar 13, 2012",India,Sri Lanka,India,50 runs,Mirpur
"Mar 15, 2012",Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur
"Mar 16, 2012",Bangladesh,India,Bangladesh,5 wickets,Mirpur
"Mar 16, 2012",West Indies,Australia,Australia,64 runs,Kingstown
"Mar 18, 2012",India,Pakistan,India,6 wickets,Mirpur
"Mar 18, 2012",West Indies,Australia,West Indies,5 wickets,Kingstown
"Mar 20, 2012",Bangladesh,Sri Lanka,Bangladesh,5 wickets,Mirpur
"Mar 20, 2012",West Indies,Australia,tied,-,Kingstown
"Mar 22, 2012",Bangladesh,Pakistan,Pakistan,2 runs,Mirpur
"Mar 23, 2012",West Indies,Australia,West Indies,42 runs,Gros Islet
"Mar 25, 2012",West Indies,Australia,Australia,30 runs,Gros Islet
"Mar 29, 2012",Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah
"Mar 31, 2012",Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah
"Jun 7, 2012",Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele
"Jun 9, 2012",Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele
"Jun 13, 2012",Sri Lanka,Pakistan,no result,-,Colombo (RPS)
"Jun 16, 2012",Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS)
"Jun 16, 2012",England,West Indies,England,114 runs,Southampton
"Jun 18, 2012",Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS)
"Jun 19, 2012",England,West Indies,England,8 wickets,The Oval
"Jun 23, 2012",Ireland,Australia,no result,-,Belfast
"Jun 29, 2012",England,Australia,England,15 runs,Lord's
"Jul 1, 2012",England,Australia,England,6 wickets,The Oval
"Jul 5, 2012",Ireland,Afghanistan,Ireland,59 runs,Dublin
"Jul 5, 2012",West Indies,New Zealand,West Indies,9 wickets,Kingston
"Jul 7, 2012",England,Australia,England,8 wickets,Chester-le-Street
"Jul 7, 2012",West Indies,New Zealand,West Indies,55 runs,Kingston
"Jul 10, 2012",England,Australia,England,7 wickets,Manchester
"Jul 11-12, 2012",Scotland,Canada,Scotland,4 wickets,Ayr
"Jul 11, 2012",West Indies,New Zealand,New Zealand,88 runs,Basseterre
"Jul 14, 2012",West Indies,New Zealand,West Indies,24 runs,Basseterre
"Jul 16, 2012",West Indies,New Zealand,West Indies,20 runs,Basseterre
"Jul 21, 2012",Sri Lanka,India,India,21 runs,Hambantota
"Jul 24, 2012",Sri Lanka,India,Sri Lanka,9 wickets,Hambantota
"Jul 28, 2012",Sri Lanka,India,India,5 wickets,Colombo (RPS)
"Jul 31, 2012",Sri Lanka,India,India,6 wickets,Colombo (RPS)
"Aug 4, 2012",Sri Lanka,India,India,20 runs,Pallekele
"Aug 24, 2012",England,South Africa,no result,-,Cardiff
"Aug 25, 2012",Afghanistan,Australia,Australia,66 runs,Sharjah
"Aug 28, 2012",England,South Africa,South Africa,80 runs,Southampton
"Aug 28, 2012",Australia,Pakistan,Australia,4 wickets,Sharjah
"Aug 31, 2012",England,South Africa,England,4 wickets,The Oval
"Aug 31, 2012",Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi
"Sep 2, 2012",England,South Africa,England,6 wickets,Lord's
"Sep 3, 2012",Australia,Pakistan,Australia,3 wickets,Sharjah
"Sep 5, 2012",England,South Africa,South Africa,7 wickets,Nottingham
"Nov 4, 2012",Sri Lanka,New Zealand,Sri Lanka,14 runs,Pallekele
"Nov 6, 2012",Sri Lanka,New Zealand,Sri Lanka,7 wickets,Pallekele
"Nov 10, 2012",Sri Lanka,New Zealand,Sri Lanka,7 wickets,Hambantota
"Nov 12, 2012",Sri Lanka,New Zealand,no result,-,Hambantota
"Nov 30, 2012",Bangladesh,West Indies,Bangladesh,7 wickets,Khulna
"Dec 2, 2012",Bangladesh,West Indies,Bangladesh,160 runs,Khulna
"Dec 5, 2012",Bangladesh,West Indies,West Indies,4 wickets,Mirpur
"Dec 7, 2012",Bangladesh,West Indies,West Indies,75 runs,Mirpur
"Dec 8, 2012",Bangladesh,West Indies,Bangladesh,2 wickets,Mirpur
"Dec 30, 2012",India,Pakistan,Pakistan,6 wickets,Chennai
"Jan 3, 2013",India,Pakistan,Pakistan,85 runs,Eden Gardens
"Jan 6, 2013",India,Pakistan,India,10 runs,Delhi
"Jan 11, 2013",Australia,Sri Lanka,Australia,107 runs,Melbourne
"Jan 11, 2013",India,England,England,9 runs,Rajkot
"Jan 13, 2013",Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide
"Jan 15, 2013",India,England,India,127 runs,Kochi
"Jan 18, 2013",Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane
"Jan 19, 2013",India,England,India,7 wickets,Ranchi
"Jan 19, 2013",South Africa,New Zealand,New Zealand,1 wicket,Paarl
"Jan 20, 2013",Australia,Sri Lanka,no result,-,Sydney
"Jan 22, 2013",South Africa,New Zealand,New Zealand,27 runs,Kimberley
"Jan 23, 2013",Australia,Sri Lanka,Australia,32 runs,Hobart
"Jan 23, 2013",India,England,India,5 wickets,Mohali
"Jan 25, 2013",South Africa,New Zealand,South Africa,1 wicket,Potchefstroom
"Jan 27, 2013",India,England,England,7 wickets,Dharamsala
"Feb 1, 2013",Australia,West Indies,Australia,9 wickets,Perth
"Feb 3, 2013",Australia,West Indies,Australia,54 runs,Perth
"Feb 6, 2013",Australia,West Indies,Australia,39 runs,Canberra
"Feb 8, 2013",Australia,West Indies,Australia,5 wickets,Sydney
"Feb 10, 2013",Australia,West Indies,Australia,17 runs,Melbourne
"Feb 17, 2013",New Zealand,England,New Zealand,3 wickets,Hamilton
"Feb 20, 2013",New Zealand,England,England,8 wickets,Napier
"Feb 22, 2013",West Indies,Zimbabwe,West Indies,156 runs,St George's
"Feb 23, 2013",New Zealand,England,England,5 wickets,Auckland
"Feb 24, 2013",West Indies,Zimbabwe,West Indies,7 wickets,St George's
"Feb 26, 2013",West Indies,Zimbabwe,West Indies,5 wickets,St George's
"Mar 6, 2013",Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah
"Mar 8, 2013",Afghanistan,Scotland,Afghanistan,5 wickets,Sharjah
"Mar 10, 2013",South Africa,Pakistan,South Africa,125 runs,Bloemfontein
"Mar 11, 2013",Canada,Kenya,Kenya,6 wickets,ICCA Dubai
"Mar 13, 2013",Canada,Kenya,Kenya,6 wickets,ICCA Dubai
"Mar 15, 2013",South Africa,Pakistan,Pakistan,6 wickets,Centurion
"Mar 17, 2013",South Africa,Pakistan,South Africa,34 runs,Johannesburg
"Mar 21, 2013",South Africa,Pakistan,Pakistan,3 wickets,Durban
"Mar 23, 2013",Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota
"Mar 24, 2013",South Africa,Pakistan,South Africa,6 wickets,Benoni
"Mar 25, 2013",Sri Lanka,Bangladesh,no result,-,Hambantota
"Mar 28, 2013",Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele
"May 3, 2013",Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo
"May 5, 2013",Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo
"May 8, 2013",Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo
"May 17, 2013",Scotland,Pakistan,Pakistan,96 runs,Edinburgh
"May 23, 2013",Ireland,Pakistan,tied,-,Dublin
"May 26, 2013",Ireland,Pakistan,Pakistan,2 wickets,Dublin
"May 31, 2013",Netherlands,South Africa,South Africa,83 runs,Amstelveen
"May 31, 2013",England,New Zealand,New Zealand,5 wickets,Lord's
"Jun 2, 2013",England,New Zealand,New Zealand,86 runs,Southampton
"Jun 5, 2013",England,New Zealand,England,34 runs,Nottingham
"Jun 6, 2013",India,South Africa,India,26 runs,Cardiff
"Jun 7, 2013",Pakistan,West Indies,West Indies,2 wickets,The Oval
"Jun 8, 2013",England,Australia,England,48 runs,Birmingham
"Jun 9, 2013",New Zealand,Sri Lanka,New Zealand,1 wicket,Cardiff
"Jun 10, 2013",Pakistan,South Africa,South Africa,67 runs,Birmingham
"Jun 11, 2013",India,West Indies,India,8 wickets,The Oval
"Jun 12, 2013",Australia,New Zealand,no result,-,Birmingham
"Jun 13, 2013",England,Sri Lanka,Sri Lanka,7 wickets,The Oval
"Jun 14, 2013",South Africa,West Indies,tied,-,Cardiff
"Jun 15, 2013",India,Pakistan,India,8 wickets,Birmingham
"Jun 16, 2013",England,New Zealand,England,10 runs,Cardiff
"Jun 17, 2013",Australia,Sri Lanka,Sri Lanka,20 runs,The Oval
"Jun 19, 2013",England,South Africa,England,7 wickets,The Oval
"Jun 20, 2013",India,Sri Lanka,India,8 wickets,Cardiff
"Jun 23, 2013",England,India,India,5 runs,Birmingham
"Jun 28, 2013",West Indies,Sri Lanka,West Indies,6 wickets,Kingston
"Jun 30, 2013",Scotland,Kenya,Scotland,12 runs,Aberdeen
"Jun 30, 2013",West Indies,India,West Indies,1 wicket,Kingston
"Jul 2-3, 2013",Scotland,Kenya,Scotland,4 wickets,Aberdeen
"Jul 2, 2013",India,Sri Lanka,Sri Lanka,161 runs,Kingston
"Jul 5, 2013",West Indies,India,India,102 runs,Port of Spain
"Jul 7, 2013",Netherlands,Ireland,Ireland,88 runs,Amstelveen
"Jul 7-8, 2013",West Indies,Sri Lanka,Sri Lanka,39 runs,Port of Spain
"Jul 9, 2013",Netherlands,Ireland,tied,-,Amstelveen
"Jul 9, 2013",India,Sri Lanka,India,81 runs,Port of Spain
"Jul 11, 2013",India,Sri Lanka,India,1 wicket,Port of Spain
"Jul 14, 2013",West Indies,Pakistan,Pakistan,126 runs,Providence
"Jul 16, 2013",West Indies,Pakistan,West Indies,37 runs,Providence
"Jul 19, 2013",West Indies,Pakistan,tied,-,Gros Islet
