date,Team_1,Team_2,Winner,Margin,Ground
"Nov 7, 2015",Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur
"Nov 7, 2015",Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele
"Nov 9, 2015",Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur
"Nov 11, 2015",Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur
"Nov 11, 2015",England,Pakistan,Pakistan,6 wickets,Abu Dhabi
"Nov 13, 2015",England,Pakistan,England,95 runs,Abu Dhabi
"Nov 16, 2015",U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai
"Nov 17, 2015",England,Pakistan,England,6 wickets,Sharjah
"Nov 18, 2015",U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai
"Nov 20, 2015",England,Pakistan,England,84 runs,Dubai (DSC)
"Dec 25, 2015",Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah
"Dec 26, 2015",New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch
"Dec 28, 2015",New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch
"Dec 29, 2015",Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah
"Dec 31, 2015",New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson
"Jan 2, 2016",New Zealand,Sri Lanka,no result,-,Nelson
"Jan 2, 2016",Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah
"Jan 4, 2016",Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah
"Jan 5, 2016",New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui
"Jan 6, 2016",Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah
"Jan 12, 2016",Australia,India,Australia,5 wickets,Perth
"Jan 15, 2016",Australia,India,Australia,7 wickets,Brisbane
"Jan 17, 2016",Australia,India,Australia,3 wickets,Melbourne
"Jan 20, 2016",Australia,India,Australia,25 runs,Canberra
"Jan 23, 2016",Australia,India,India,6 wickets,Sydney
"Jan 25, 2016",New Zealand,Pakistan,New Zealand,70 runs,Wellington
"Jan 26, 2016",Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok
"Jan 31, 2016",New Zealand,Pakistan,New Zealand,3 wickets,Auckland
"Feb 3, 2016",New Zealand,Australia,New Zealand,159 runs,Auckland
"Feb 3, 2016",South Africa,England,England,39 runs,Bloemfontein
"Feb 6, 2016",New Zealand,Australia,Australia,4 wickets,Wellington
"Feb 6, 2016",South Africa,England,England,5 wickets,Gqeberha
"Feb 8, 2016",New Zealand,Australia,New Zealand,55 runs,Hamilton
"Feb 9, 2016",South Africa,England,South Africa,7 wickets,Centurion
"Feb 12, 2016",South Africa,England,South Africa,1 wicket,Johannesburg
"Feb 14, 2016",South Africa,England,South Africa,5 wickets,Cape Town
"Jun 3, 2016",West Indies,South Africa,West Indies,4 wickets,Providence
"Jun 5, 2016",West Indies,Australia,Australia,6 wickets,Providence
"Jun 7, 2016",Australia,South Africa,South Africa,47 runs,Providence
"Jun 11, 2016",Zimbabwe,India,India,9 wickets,Harare
"Jun 11, 2016",Australia,South Africa,Australia,36 runs,Basseterre
"Jun 13, 2016",Zimbabwe,India,India,8 wickets,Harare
"Jun 13, 2016",West Indies,Australia,West Indies,4 wickets,Basseterre
"Jun 15, 2016",Zimbabwe,India,India,10 wickets,Harare
"Jun 15, 2016",West Indies,South Africa,South Africa,139 runs,Basseterre
"Jun 16, 2016",Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide)
"Jun 18, 2016",Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide)
"Jun 19, 2016",Australia,South Africa,no result,-,Bridgetown
"Jun 21, 2016",England,Sri Lanka,tied,-,Nottingham
"Jun 21, 2016",West Indies,Australia,Australia,6 wickets,Bridgetown
"Jun 24, 2016",England,Sri Lanka,England,10 wickets,Birmingham
"Jun 24, 2016",West Indies,South Africa,West Indies,100 runs,Bridgetown
"Jun 26, 2016",England,Sri Lanka,no result,-,Bristol
"Jun 26, 2016",West Indies,Australia,Australia,58 runs,Bridgetown
"Jun 29, 2016",England,Sri Lanka,England,6 wickets,The Oval
"Jul 2, 2016",England,Sri Lanka,England,122 runs,Cardiff
"Jul 4, 2016",Scotland,Afghanistan,no result,-,Edinburgh
"Jul 6, 2016",Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh
"Jul 12, 2016",Ireland,Afghanistan,Afghanistan,39 runs,Belfast
"Jul 14, 2016",Ireland,Afghanistan,Ireland,6 wickets,Belfast
"Jul 17, 2016",Ireland,Afghanistan,Afghanistan,79 runs,Belfast
"Jul 19, 2016",Ireland,Afghanistan,Ireland,12 runs,Belfast
"Aug 14, 2016",Scotland,U.A.E.,Scotland,98 runs,Edinburgh
"Aug 16, 2016",Scotland,U.A.E.,Scotland,7 wickets,Edinburgh
"Aug 18, 2016",Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide)
"Aug 21, 2016",Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS)
"Aug 24, 2016",Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS)
"Aug 24, 2016",England,Pakistan,England,44 runs,Southampton
"Aug 27, 2016",England,Pakistan,England,4 wickets,Lord's
"Aug 28, 2016",Sri Lanka,Australia,Australia,2 wickets,Dambulla
"Aug 30, 2016",England,Pakistan,England,169 runs,Nottingham
"Aug 31, 2016",Sri Lanka,Australia,Australia,6 wickets,Dambulla
"Sep 1, 2016",England,Pakistan,England,4 wickets,Leeds
"Sep 4, 2016",Sri Lanka,Australia,Australia,5 wickets,Pallekele
"Sep 4, 2016",England,Pakistan,Pakistan,4 wickets,Cardiff
"Sep 8, 2016",Scotland,Hong Kong,no result,-,Edinburgh
"Sep 10, 2016",Scotland,Hong Kong,Scotland,53 runs,Edinburgh
"Sep 25, 2016",South Africa,Ireland,South Africa,206 runs,Benoni
"Sep 25, 2016",Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur
"Sep 27, 2016",Australia,Ireland,Australia,9 wickets,Benoni
"Sep 28, 2016",Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur
"Sep 30, 2016",Pakistan,West Indies,Pakistan,111 runs,Sharjah
"Sep 30, 2016",South Africa,Australia,South Africa,6 wickets,Centurion
"Oct 1, 2016",Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur
"Oct 2, 2016",South Africa,Australia,South Africa,142 runs,Johannesburg
"Oct 2, 2016",Pakistan,West Indies,Pakistan,59 runs,Sharjah
"Oct 5, 2016",Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi
"Oct 5, 2016",South Africa,Australia,South Africa,4 wickets,Durban
"Oct 7, 2016",Bangladesh,England,England,21 runs,Mirpur
"Oct 9, 2016",South Africa,Australia,South Africa,6 wickets,Gqeberha
"Oct 9, 2016",Bangladesh,England,Bangladesh,34 runs,Mirpur
"Oct 12, 2016",Bangladesh,England,England,4 wickets,Chattogram
"Oct 12, 2016",South Africa,Australia,South Africa,31 runs,Cape Town
"Oct 16, 2016",India,New Zealand,India,6 wickets,Dharamsala
"Oct 20, 2016",India,New Zealand,New Zealand,6 runs,Delhi
"Oct 23, 2016",India,New Zealand,India,7 wickets,Mohali
"Oct 26, 2016",India,New Zealand,New Zealand,19 runs,Ranchi
"Oct 29, 2016",India,New Zealand,India,190 runs,Visakhapatnam
"Nov 4, 2016",Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok
"Nov 6, 2016",Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok
"Nov 8, 2016",Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok
"Nov 14, 2016",Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare
"Nov 16, 2016",Sri Lanka,West Indies,West Indies,62 runs,Harare
"Nov 19, 2016",Zimbabwe,West Indies,tied,-,Bulawayo
"Nov 21, 2016",Zimbabwe,Sri Lanka,no result,-,Bulawayo
"Nov 23, 2016",Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo
"Nov 25, 2016",Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo
"Nov 27, 2016",Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo
"Dec 4, 2016",Australia,New Zealand,Australia,68 runs,Sydney
"Dec 6, 2016",Australia,New Zealand,Australia,116 runs,Canberra
"Dec 9, 2016",Australia,New Zealand,Australia,117 runs,Melbourne
"Dec 26, 2016",New Zealand,Bangladesh,New Zealand,77 runs,Christchurch
"Dec 29, 2016",New Zealand,Bangladesh,New Zealand,67 runs,Nelson
"Dec 31, 2016",New Zealand,Bangladesh,New Zealand,8 wickets,Nelson
"Jan 13, 2017",Australia,Pakistan,Australia,92 runs,Brisbane
"Jan 15, 2017",Australia,Pakistan,Pakistan,6 wickets,Melbourne
"Jan 15, 2017",India,England,India,3 wickets,Pune
"Jan 19, 2017",Australia,Pakistan,Australia,7 wickets,Perth
"Jan 19, 2017",India,England,India,15 runs,Cuttack
"Jan 22, 2017",Australia,Pakistan,Australia,86 runs,Sydney
"Jan 22, 2017",Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi
"Jan 22, 2017",India,England,England,5 runs,Eden Gardens
"Jan 24, 2017",U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC)
"Jan 26, 2017",Australia,Pakistan,Australia,57 runs,Adelaide
"Jan 26, 2017",U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC)
"Jan 28, 2017",South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha
"Jan 30, 2017",New Zealand,Australia,New Zealand,6 runs,Auckland
"Feb 1, 2017",South Africa,Sri Lanka,South Africa,121 runs,Durban
"Feb 4, 2017",South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg
"Feb 5, 2017",New Zealand,Australia,New Zealand,24 runs,Hamilton
"Feb 7, 2017",South Africa,Sri Lanka,South Africa,40 runs,Cape Town
"Feb 10, 2017",South Africa,Sri Lanka,South Africa,88 runs,Centurion
"Feb 16, 2017",Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare
"Feb 19, 2017",New Zealand,South Africa,South Africa,4 wickets,Hamilton
"Feb 19, 2017",Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare
"Feb 21, 2017",Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare
"Feb 22, 2017",New Zealand,South Africa,New Zealand,6 runs,Christchurch
"Feb 24, 2017",Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare
"Feb 25, 2017",New Zealand,South Africa,South Africa,159 runs,Wellington
"Feb 26, 2017",Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare
"Mar 1, 2017",New Zealand,South Africa,New Zealand,7 wickets,Hamilton
"Mar 2, 2017",U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai
"Mar 3, 2017",West Indies,England,England,45 runs,North Sound
"Mar 4, 2017",New Zealand,South Africa,South Africa,6 wickets,Auckland
"Mar 4, 2017",U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai
"Mar 5, 2017",West Indies,England,England,4 wickets,North Sound
"Mar 9, 2017",West Indies,England,England,186 runs,Bridgetown
"Mar 15, 2017",Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida
"Mar 17, 2017",Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida
"Mar 19, 2017",Afghanistan,Ireland,Ireland,6 wickets,Greater Noida
"Mar 22, 2017",Afghanistan,Ireland,Ireland,3 wickets,Greater Noida
"Mar 24, 2017",Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida
"Mar 25, 2017",Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla
"Mar 28, 2017",Sri Lanka,Bangladesh,no result,-,Dambulla
"Mar 31, 2017",U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi
"Apr 1, 2017",Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC)
"Apr 2, 2017",U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi
"Apr 4, 2017",U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi
"Apr 7, 2017",West Indies,Pakistan,West Indies,4 wickets,Providence
"Apr 9, 2017",West Indies,Pakistan,Pakistan,74 runs,Providence
"Apr 11, 2017",West Indies,Pakistan,Pakistan,6 wickets,Providence
"May 5, 2017",England,Ireland,England,7 wickets,Bristol
"May 7, 2017",England,Ireland,England,85 runs,Lord's
"May 12, 2017",Ireland,Bangladesh,no result,-,Dublin (Malahide)
"May 14, 2017",Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide)
"May 17, 2017",Bangladesh,New Zealand,New Zealand,4 wickets,Dublin
"May 19, 2017",Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide)
"May 21, 2017",Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide)
"May 24, 2017",Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin
"May 24, 2017",England,South Africa,England,72 runs,Leeds
"May 27, 2017",England,South Africa,England,2 runs,Southampton
"May 29, 2017",England,South Africa,South Africa,7 wickets,Lord's
"Jun 1, 2017",England,Bangladesh,England,8 wickets,The Oval
"Jun 2, 2017",Australia,New Zealand,no result,-,Birmingham
"Jun 3, 2017",South Africa,Sri Lanka,South Africa,96 runs,The Oval
"Jun 4, 2017",India,Pakistan,India,124 runs,Birmingham
"Jun 5, 2017",Australia,Bangladesh,no result,-,The Oval
"Jun 6, 2017",England,New Zealand,England,87 runs,Cardiff
"Jun 7, 2017",Pakistan,South Africa,Pakistan,19 runs,Birmingham
"Jun 8, 2017",India,Sri Lanka,Sri Lanka,7 wickets,The Oval
"Jun 9, 2017",Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff
"Jun 9, 2017",West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet
"Jun 10, 2017",England,Australia,England,40 runs,Birmingham
"Jun 11, 2017",India,South Africa,India,8 wickets,The Oval
"Jun 11, 2017",West Indies,Afghanistan,West Indies,4 wickets,Gros Islet
"Jun 12, 2017",Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff
"Jun 14, 2017",England,Pakistan,Pakistan,8 wickets,Cardiff
"Jun 14, 2017",West Indies,Afghanistan,no result,-,Gros Islet
"Jun 15, 2017",Bangladesh,India,India,9 wickets,Birmingham
"Jun 15, 2017",Scotland,Zimbabwe,Scotland,26 runs,Edinburgh
"Jun 17, 2017",Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh
"Jun 18, 2017",India,Pakistan,Pakistan,180 runs,The Oval
"Jun 23, 2017",West Indies,India,no result,-,Port of Spain
"Jun 25, 2017",West Indies,India,India,105 runs,Port of Spain
"Jun 30, 2017",Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle
"Jun 30, 2017",West Indies,India,India,93 runs,North Sound
"Jul 2, 2017",Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle
"Jul 2, 2017",West Indies,India,West Indies,11 runs,North Sound
"Jul 6, 2017",Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota
"Jul 6, 2017",West Indies,India,India,8 wickets,Kingston
"Jul 8, 2017",Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota
"Jul 10, 2017",Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota
"Aug 20, 2017",Sri Lanka,India,India,9 wickets,Dambulla
"Aug 24, 2017",Sri Lanka,India,India,3 wickets,Pallekele
"Aug 27, 2017",Sri Lanka,India,India,6 wickets,Pallekele
"Aug 31, 2017",Sri Lanka,India,India,168 runs,Colombo (RPS)
"Sep 3, 2017",Sri Lanka,India,India,6 wickets,Colombo (RPS)
"Sep 17, 2017",India,Australia,India,26 runs,Chennai
"Sep 19, 2017",England,West Indies,England,7 wickets,Manchester
"Sep 21, 2017",India,Australia,India,50 runs,Eden Gardens
"Sep 21, 2017",England,West Indies,no result,-,Nottingham
"Sep 24, 2017",India,Australia,India,5 wickets,Indore
"Sep 24, 2017",England,West Indies,England,124 runs,Bristol
"Sep 27, 2017",England,West Indies,England,6 runs,The Oval
"Sep 28, 2017",India,Australia,Australia,21 runs,Bengaluru
"Sep 29, 2017",England,West Indies,England,9 wickets,Southampton
"Oct 1, 2017",India,Australia,India,7 wickets,Nagpur
"Oct 6, 2017",P.N.G.,Scotland,Scotland,101 runs,Port Moresby
"Oct 8, 2017",P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby
"Oct 13, 2017",Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC)
"Oct 15, 2017",South Africa,Bangladesh,South Africa,10 wickets,Kimberley
"Oct 16, 2017",Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi
"Oct 18, 2017",South Africa,Bangladesh,South Africa,104 runs,Paarl
"Oct 18, 2017",Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi
"Oct 20, 2017",Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah
"Oct 22, 2017",India,New Zealand,New Zealand,6 wickets,Wankhede
"Oct 22, 2017",South Africa,Bangladesh,South Africa,200 runs,East London
"Oct 23, 2017",Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah
"Oct 25, 2017",India,New Zealand,India,6 wickets,Pune
"Oct 29, 2017",India,New Zealand,India,6 runs,Kanpur
"Nov 24, 2017",P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC)
"Nov 25, 2017",P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC)
"Dec 5, 2017",Afghanistan,Ireland,Afghanistan,138 runs,Sharjah
"Dec 6, 2017",Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai
"Dec 7, 2017",Afghanistan,Ireland,Ireland,51 runs,Sharjah
"Dec 8, 2017",Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai
"Dec 10, 2017",India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala
"Dec 10, 2017",Afghanistan,Ireland,Ireland,5 wickets,Sharjah
"Dec 13, 2017",India,Sri Lanka,India,141 runs,Mohali
"Dec 17, 2017",India,Sri Lanka,India,8 wickets,Visakhapatnam
"Dec 20, 2017",New Zealand,West Indies,New Zealand,5 wickets,Whangarei
"Dec 23, 2017",New Zealand,West Indies,New Zealand,204 runs,Christchurch
"Dec 26, 2017",New Zealand,West Indies,New Zealand,66 runs,Christchurch
"Jan 6, 2018",New Zealand,Pakistan,New Zealand,61 runs,Wellington
"Jan 9, 2018",New Zealand,Pakistan,New Zealand,8 wickets,Nelson
"Jan 11, 2018",U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai
"Jan 13, 2018",New Zealand,Pakistan,New Zealand,183 runs,Dunedin
"Jan 13, 2018",U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai
"Jan 14, 2018",Australia,England,England,5 wickets,Melbourne
"Jan 15, 2018",Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur
"Jan 16, 2018",New Zealand,Pakistan,New Zealand,5 wickets,Hamilton
"Jan 16, 2018",Ireland,Scotland,Ireland,6 wickets,ICCA Dubai
"Jan 17, 2018",Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur
"Jan 18, 2018",Ireland,Scotland,Ireland,24 runs,ICCA Dubai
"Jan 19, 2018",New Zealand,Pakistan,New Zealand,15 runs,Wellington
"Jan 19, 2018",Australia,England,England,4 wickets,Brisbane
"Jan 19, 2018",Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur
"Jan 21, 2018",Australia,England,England,16 runs,Sydney
"Jan 21, 2018",U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai
"Jan 21, 2018",Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur
"Jan 23, 2018",U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai
"Jan 23, 2018",Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur
"Jan 25, 2018",Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur
"Jan 26, 2018",Australia,England,Australia,3 wickets,Adelaide
"Jan 27, 2018",Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur
"Jan 28, 2018",Australia,England,England,12 runs,Perth
"Feb 1, 2018",South Africa,India,India,6 wickets,Durban
"Feb 4, 2018",South Africa,India,India,9 wickets,Centurion
"Feb 7, 2018",South Africa,India,India,124 runs,Cape Town
"Feb 9, 2018",Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah
"Feb 10, 2018",South Africa,India,South Africa,5 wickets,Johannesburg
"Feb 11, 2018",Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah
"Feb 13, 2018",Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah
"Feb 13, 2018",South Africa,India,India,73 runs,Gqeberha
"Feb 16, 2018",Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah
"Feb 16, 2018",South Africa,India,India,8 wickets,Centurion
"Feb 19, 2018",Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah
"Feb 25, 2018",New Zealand,England,New Zealand,3 wickets,Hamilton
"Feb 28, 2018",New Zealand,England,England,6 wickets,Mount Maunganui
"Mar 3, 2018",New Zealand,England,England,4 runs,Wellington
"Mar 4, 2018",Afghanistan,Scotland,Scotland,7 wickets,Bulawayo
"Mar 4, 2018",P.N.G.,U.A.E.,U.A.E.,56 runs,Harare
"Mar 6, 2018",Hong Kong,Scotland,Scotland,4 wickets,Bulawayo
"Mar 6, 2018",Ireland,P.N.G.,Ireland,4 wickets,Harare
"Mar 6, 2018",U.A.E.,West Indies,West Indies,60 runs,Harare
"Mar 6, 2018",Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo
"Mar 7, 2018",New Zealand,England,New Zealand,5 wickets,Dunedin
"Mar 8, 2018",Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo
"Mar 8, 2018",P.N.G.,West Indies,West Indies,6 wickets,Harare
"Mar 10, 2018",New Zealand,England,England,7 wickets,Christchurch
"Mar 10, 2018",Ireland,West Indies,West Indies,52 runs,Harare
"Mar 10, 2018",Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo
"Mar 12, 2018",Ireland,U.A.E.,Ireland,226 runs,Harare
"Mar 12, 2018",Zimbabwe,Scotland,tied,-,Bulawayo
"Mar 15, 2018",Afghanistan,West Indies,Afghanistan,3 wickets,Harare
"Mar 15, 2018",Scotland,U.A.E.,Scotland,73 runs,Bulawayo
"Mar 16, 2018",Zimbabwe,Ireland,Zimbabwe,107 runs,Harare
"Mar 17, 2018",Hong Kong,P.N.G.,P.N.G.,58 runs,Harare
"Mar 18, 2018",Ireland,Scotland,Ireland,25 runs,Harare
"Mar 19, 2018",Zimbabwe,West Indies,West Indies,4 wickets,Harare
"Mar 20, 2018",Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare
"Mar 21, 2018",Scotland,West Indies,West Indies,5 runs,Harare
"Mar 22, 2018",Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare
"Mar 23, 2018",Afghanistan,Ireland,Afghanistan,5 wickets,Harare
"Mar 25, 2018",Afghanistan,West Indies,Afghanistan,7 wickets,Harare
"Jun 10, 2018",Scotland,England,Scotland,6 runs,Edinburgh
"Jun 13, 2018",England,Australia,England,3 wickets,The Oval
"Jun 16, 2018",England,Australia,England,38 runs,Cardiff
"Jun 19, 2018",England,Australia,England,242 runs,Nottingham
"Jun 21, 2018",England,Australia,England,6 wickets,Chester-le-Street
"Jun 24, 2018",England,Australia,England,1 wicket,Manchester
"Jul 12, 2018",England,India,India,8 wickets,Nottingham
"Jul 13, 2018",Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo
